name,nationality,email,birthday
Alice,German,alice@example.com,1990-03-15
Bob,Swiss,bob@example.com,1985-07-22
Clara,Austrian,clara@example.com,1992-11-08
David,German,david@example.com,1988-01-30
Eva,French,eva@example.com,1995-06-14
Frank,Swiss,frank@example.com,1982-09-03
Grace,Italian,grace@example.com,1993-04-27
Hans,German,hans@example.com,1979-12-19
Ida,Austrian,ida@example.com,1997-02-11
Jonas,Swiss,jonas@example.com,1991-08-05
Klara,French,klara@example.com,1986-10-23
Leon,Italian,leon@example.com,1994-05-17
